listing_id,url,make,model,manufactured,type_of_vehicle,power,engine_cap,curb_weight,no_of_owners,mileage,price
983884,https://www.sgcarmart.com/listing/983884,nissan,qashqai,2015,suv,85,1197,1285,2,80000,52800
1026259,https://www.sgcarmart.com/listing/1026259,volkswagen,golf,2010,sports car,188,1984,1466,6,149000,105800
1002033,https://www.sgcarmart.com/listing/1002033,suzuki,vitara,2016,suv,88,1586,1160,1,84000,55800
1030109,https://www.sgcarmart.com/listing/1030109,kia,picanto,2007,hatchback,47,1086,852,2,105000,8888
1013252,https://www.sgcarmart.com/listing/1013252,porsche,cayenne,2014,suv,193,2967,2185,3,108650,162800
1026589,https://www.sgcarmart.com/listing/1026589,toyota,c-hr,2018,suv,90,1797,1440,1,50000,93000
1024394,https://www.sgcarmart.com/listing/1024394,bmw,x4,2014,suv,225,2979,1815,2,78000,128000
1014304,https://www.sgcarmart.com/listing/1014304,toyota,corolla,2012,mid-sized sedan,90,1598,1195,3,130000,18900
1003345,https://www.sgcarmart.com/listing/1003345,mercedes-benz,amg,2010,sports car,200,3498,1765,3,117000,106088
1022878,https://www.sgcarmart.com/listing/1022878,mercedes-benz,c180,2009,luxury sedan,115,1796,1495,3,108000,65800
1021560,https://www.sgcarmart.com/listing/1021560,mercedes-benz,amg,2016,luxury sedan,135,1991,1465,1,98500,113800
1014266,https://www.sgcarmart.com/listing/1014266,mitsubishi,attrage,2018,mid-sized sedan,59,1193,940,1,45900,53800
997119,https://www.sgcarmart.com/listing/997119,skoda,octavia,2019,mid-sized sedan,180,1984,1470,-1,29000,148000
1025282,https://www.sgcarmart.com/listing/1025282,toyota,harrier,2019,suv,170,1998,1695,1,23000,132888
905156,https://www.sgcarmart.com/listing/905156,mercedes-benz,amg,2015,luxury sedan,135,1991,1655,3,66000,120800
1021069,https://www.sgcarmart.com/listing/1021069,bmw,318i,2016,luxury sedan,100,1499,1425,1,100214,82600
1018007,https://www.sgcarmart.com/listing/1018007,bmw,630ci,2005,sports car,190,2996,1580,5,190000,65000
1024606,https://www.sgcarmart.com/listing/1024606,toyota,wish,2009,mpv,106,1797,1340,4,166000,57777
1000127,https://www.sgcarmart.com/listing/1000127,bmw,318i,2015,luxury sedan,100,1499,1425,3,96000,75000
