listing_id,url,make,model,manufactured,type_of_vehicle,power,engine_cap,curb_weight,no_of_owners,mileage,price
1023911,https://www.sgcarmart.com/listing/1023911,toyota,corolla,2009,mid-sized sedan,81,1496,1130.0,3,127450,20800
1022346,https://www.sgcarmart.com/listing/1022346,toyota,estima,2007,mpv,125,2362,1710.0,4,103000,52500
1017880,https://www.sgcarmart.com/listing/1017880,citroen,c3,2018,suv,81,1199,1203.0,1,35000,68000
1022468,https://www.sgcarmart.com/listing/1022468,renault,grand,2015,mpv,81,1461,1539.0,1,80848,52800
1026440,https://www.sgcarmart.com/listing/1026440,mercedes-benz,e200,2009,luxury sedan,135,1796,1615.0,2,116199,73800
1019571,https://www.sgcarmart.com/listing/1019571,kia,cerato,2018,mid-sized sedan,93,1591,1287.0,2,22000,56800
1023663,https://www.sgcarmart.com/listing/1023663,toyota,camry,2007,luxury sedan,108,1998,1530.0,4,238400,10700
973358,https://www.sgcarmart.com/listing/973358,bmw,318i,2017,luxury sedan,100,1499,1425.0,1,51400,112900
1024507,https://www.sgcarmart.com/listing/1024507,honda,vezel,2016,suv,96,1496,1190.0,2,72000,57800
1016664,https://www.sgcarmart.com/listing/1016664,honda,civic,2019,mid-sized sedan,92,1597,1237.0,1,27000,75800
1029481,,jeep,cherokee,2014,suv,130,2360,1994.0,3,53000,95800
1023425,https://www.sgcarmart.com/listing/1023425,,elantra,2014,mid-sized sedan,97,1591,1292.0,1,78621,41800
1028597,https://www.sgcarmart.com/listing/1028597,volvo,xc60,2018,suv,235,1969,1919.0,2,20000,
1030815,https://www.sgcarmart.com/listing/1030815,honda,stream,2008,mpv,103,1799,1370.0,4,135025,15998
1028160,https://www.sgcarmart.com/listing/1028160,lexus,es,2020,luxury sedan,152,2487,1620.0,1,16487,172800
1031000,https://www.sgcarmart.com/listing/1031000,mazda,2,2018,luxury sedan,121,1998,1515.0,1,,93888
1001184,https://www.sgcarmart.com/listing/1001184,mitsubishi,lancer,2015,mid-sized sedan,86,1590,1289.0,2,89000,60800
966253,https://www.sgcarmart.com/listing/966253,bmw,218i,2016,sports car,100,1499,1360.0,2,67000,84500
1029113,https://www.sgcarmart.com/listing/1029113,bmw,318i,2010,luxury sedan,100,1995,1390.0,4,140000,68800
1029951,,mazda,3,2015,mid-sized sedan,88,1496,1321.0,2,80000,46800
1021567,https://www.sgcarmart.com/listing/1021567,volkswagen,jetta,2015,mid-sized sedan,90,1390,1417.0,1,96853,45800
1018309,https://www.sgcarmart.com/listing/1018309,mazda,2,2015,mpv,111,1998,1535.0,2,85000,51800
1011286,,mercedes-benz,r350l,2008,mpv,200,3498,2175.0,4,167000,75000
1031322,https://www.sgcarmart.com/listing/1031322,lexus,ls500,2017,luxury sedan,310,3445,2220.0,1,21200,309800
1029739,https://www.sgcarmart.com/listing/1029739,ford,focus,2012,stationwagon,92,1596,1340.0,3,151000,22500
1030756,https://www.sgcarmart.com/listing/1030756,mitsubishi,lancer,2015,mid-sized sedan,86,1590,1289.0,2,44685,36555
1027944,https://www.sgcarmart.com/listing/1027944,bmw,318i,2017,luxury sedan,100,1499,1425.0,1,60000,108800
1023134,https://www.sgcarmart.com/listing/1023134,honda,civic,2018,mid-sized sedan,127,1498,1324.0,1,,98800
1000177,https://www.sgcarmart.com/listing/1000177,hyundai,elantra,2016,mid-sized sedan,93,1591,1345.0,1,70000,51800
1011352,https://www.sgcarmart.com/listing/1011352,bmw,428i,2014,luxury sedan,180,1997,1530.0,1,73000,94800
950721,https://www.sgcarmart.com/listing/950721,bmw,523i,2010,luxury sedan,150,2497,1650.0,2,139770,79888
997366,https://www.sgcarmart.com/listing/997366,honda,vezel,2018,suv,112,1496,1280.0,1,22000,85800
1019713,https://www.sgcarmart.com/listing/1019713,bmw,640i,2011,sports car,235,2979,1735.0,3,101511,122800
1018623,https://www.sgcarmart.com/listing/1018623,mitsubishi,attrage,2019,mid-sized sedan,59,1193,940.0,1,15900,50288
1019784,https://www.sgcarmart.com/listing/1019784,nissan,qashqai,2015,suv,85,1197,1285.0,2,80236,47988
1027279,https://www.sgcarmart.com/listing/1027279,hyundai,accent,2018,mid-sized sedan,73,1368,1115.0,1,140000,58900
1003138,https://www.sgcarmart.com/listing/1003138,porsche,macan,2017,suv,185,1984,1845.0,2,40433,212800
1026594,https://www.sgcarmart.com/listing/1026594,toyota,vios,2009,mid-sized sedan,80,1497,1095.0,4,100000,20800
961829,https://www.sgcarmart.com/listing/961829,suzuki,swift,2019,hatchback,82,998,940.0,1,37000,72800
985502,https://www.sgcarmart.com/listing/985502,toyota,prius,2017,hatchback,90,1798,1375.0,2,42000,71888
991364,https://www.sgcarmart.com/listing/991364,toyota,c-hr,2017,suv,90,1797,1440.0,1,41000,74888
1011265,https://www.sgcarmart.com/listing/1011265,,elantra,2018,mid-sized sedan,93,1591,1345.0,1,,64800
1029494,https://www.sgcarmart.com/listing/1029494,mercedes-benz,c180,2007,luxury sedan,115,1796,1485.0,2,68800,76500
1004028,https://www.sgcarmart.com/listing/1004028,toyota,prius,2017,hatchback,90,1797,1360.0,2,55430,72800
1018362,https://www.sgcarmart.com/listing/1018362,mercedes-benz,e180,2019,luxury sedan,115,1497,1635.0,1,24856,181888
1019253,https://www.sgcarmart.com/listing/1019253,toyota,estima,2006,mpv,125,2362,1730.0,4,179000,40800
1028454,https://www.sgcarmart.com/listing/1028454,toyota,estima,2008,mpv,125,2362,1750.0,4,135000,52800
999871,https://www.sgcarmart.com/listing/999871,honda,vezel,2016,suv,112,1496,1280.0,1,98192,59500
1020943,https://www.sgcarmart.com/listing/1020943,mercedes-benz,a180,2017,hatchback,90,1595,1395.0,1,63000,83800
978206,https://www.sgcarmart.com/listing/978206,,amg,2020,suv,120,1332,1555.0,1,88,205800
1018863,https://www.sgcarmart.com/listing/1018863,honda,vezel,2015,suv,112,1496,1280.0,1,73218,54800
1026854,https://www.sgcarmart.com/listing/1026854,lexus,es,2020,luxury sedan,152,2487,1620.0,1,4000,185000
1025565,https://www.sgcarmart.com/listing/1025565,mitsubishi,lancer,2007,mid-sized sedan,79,1584,1162.0,1,134000,39800
991322,https://www.sgcarmart.com/listing/991322,toyota,c-hr,2017,suv,90,1797,1440.0,2,62000,69800
1002331,,toyota,noah,2019,mpv,100,1797,1610.0,1,48312,121800
976529,https://www.sgcarmart.com/listing/976529,toyota,harrier,2016,suv,111,1986,1580.0,1,41000,126000
1014814,,,civic,2008,sports car,148,1998,1345.0,6,145000,78800
1027325,https://www.sgcarmart.com/listing/1027325,mercedes-benz,amg,2014,luxury sedan,155,1991,1480.0,1,55500,80000
1010623,,volkswagen,golf,2015,hatchback,90,1395,1249.0,1,67728,50999
1014996,https://www.sgcarmart.com/listing/1014996,honda,civic,2021,sports car,235,1996,1433.0,1,20,218800
1018774,https://www.sgcarmart.com/listing/1018774,mazda,3,2017,mid-sized sedan,88,1496,1310.0,2,45000,63800
1026675,https://www.sgcarmart.com/listing/1026675,mini,cooper,2012,sports car,135,1598,1155.0,4,103000,85888
996783,https://www.sgcarmart.com/listing/996783,toyota,corolla,2019,mid-sized sedan,73,1496,1140.0,1,22186,87800
1012795,https://www.sgcarmart.com/listing/1012795,kia,cerato,2017,mid-sized sedan,95,1591,1295.0,1,,67800
1003965,https://www.sgcarmart.com/listing/1003965,bmw,m6,2007,sports car,373,4999,1785.0,3,111100,148888
1014377,https://www.sgcarmart.com/listing/1014377,mercedes-benz,c180,2018,luxury sedan,115,1595,1425.0,1,48566,128800
1030629,https://www.sgcarmart.com/listing/1030629,honda,stream,2008,mpv,103,1799,1370.0,6,198407,44998
1030925,https://www.sgcarmart.com/listing/1030925,hyundai,avante,2009,mid-sized sedan,89,1591,1264.0,3,,20998
1029937,https://www.sgcarmart.com/listing/1029937,toyota,corolla,2015,mid-sized sedan,80,1496,1090.0,1,40000,39888
1019618,https://www.sgcarmart.com/listing/1019618,mitsubishi,lancer,2010,mid-sized sedan,80,1499,1313.0,3,156000,28800
1026599,https://www.sgcarmart.com/listing/1026599,bmw,520i,2013,luxury sedan,135,1997,1615.0,2,82000,73333
1017063,https://www.sgcarmart.com/listing/1017063,subaru,forester,2016,suv,177,1998,1682.0,1,120000,67800
1007494,https://www.sgcarmart.com/listing/1007494,mitsubishi,evolution,2008,sports car,206,1998,1540.0,3,140000,
1024300,,kia,cerato,2019,mid-sized sedan,93,1591,1287.0,1,15975,75888
1012392,https://www.sgcarmart.com/listing/1012392,bmw,520i,2013,luxury sedan,135,1997,1610.0,2,120000,50800
1029025,https://www.sgcarmart.com/listing/1029025,seat,arona,2018,suv,85,999,1210.0,1,65000,75500
994164,https://www.sgcarmart.com/listing/994164,audi,a1,2015,hatchback,70,999,1165.0,3,89796,48964
974272,https://www.sgcarmart.com/listing/974272,volkswagen,touran,2020,mpv,110,1395,1478.0,1,9000,145988
1019292,https://www.sgcarmart.com/listing/1019292,mitsubishi,lancer,2008,mid-sized sedan,80,1499,1313.0,2,118900,65000
1021096,https://www.sgcarmart.com/listing/1021096,audi,q2,2019,suv,85,999,1315.0,1,6500,109800
1018222,https://www.sgcarmart.com/listing/1018222,audi,s5,2018,sports car,260,2995,1735.0,1,26700,213777
1004923,https://www.sgcarmart.com/listing/1004923,lexus,is,2017,luxury sedan,180,1998,1620.0,2,26000,122000
1010790,https://www.sgcarmart.com/listing/1010790,,fit,2018,hatchback,101,1496,1140.0,1,9286,79888
1029664,https://www.sgcarmart.com/listing/1029664,toyota,vios,2009,mid-sized sedan,80,1497,1095.0,3,150000,20888
1022556,https://www.sgcarmart.com/listing/1022556,volkswagen,scirocco,2010,sports car,118,1390,1285.0,3,98670,42800
1027271,https://www.sgcarmart.com/listing/1027271,,shuttle,2017,stationwagon,101,1496,1220.0,1,50263,65800
984524,,bmw,x3,2018,suv,185,1998,1715.0,2,25000,199800
985394,https://www.sgcarmart.com/listing/985394,bmw,420i,2018,luxury sedan,135,1998,1540.0,2,53800,143800
1005312,,mitsubishi,outlander,2015,suv,123,2360,1530.0,1,110000,59800
973832,https://www.sgcarmart.com/listing/973832,nissan,qashqai,2016,suv,85,1197,1285.0,1,94264,53800
998945,https://www.sgcarmart.com/listing/998945,bmw,520i,2013,luxury sedan,135,1997,1610.0,1,135000,52000
1022447,https://www.sgcarmart.com/listing/1022447,honda,e,2017,mpv,129,2356,1769.0,1,48734,101800
1030467,https://www.sgcarmart.com/listing/1030467,toyota,wish,2010,mpv,106,1987,1380.0,4,152000,63787
992891,https://www.sgcarmart.com/listing/992891,subaru,forester,2017,suv,177,1998,1682.0,1,63000,82888
979943,https://www.sgcarmart.com/listing/979943,,fit,2018,hatchback,73,1317,1030.0,1,41963,67800
1008358,https://www.sgcarmart.com/listing/1008358,,civic,2018,mid-sized sedan,92,1597,1249.0,1,40000,69555
1007452,https://www.sgcarmart.com/listing/1007452,,amg,2018,luxury sedan,336,2999,2025.0,1,39000,339800
994120,https://www.sgcarmart.com/listing/994120,mitsubishi,attrage,2016,mid-sized sedan,57,1193,940.0,2,48400,49800
1022864,https://www.sgcarmart.com/listing/1022864,toyota,harrier,2015,suv,111,1986,1580.0,2,47000,71800
1002260,https://www.sgcarmart.com/listing/1002260,mercedes-benz,c180,2018,sports car,115,1595,1505.0,2,19000,156800
993011,https://www.sgcarmart.com/listing/993011,mercedes-benz,c180,2019,luxury sedan,115,1595,1490.0,1,27200,150888
994121,https://www.sgcarmart.com/listing/994121,mclaren,600lt,2019,sports car,441,3799,1356.0,1,4000,888000
1028502,https://www.sgcarmart.com/listing/1028502,honda,civic,2016,mid-sized sedan,92,1597,1249.0,2,57869,65880
1023061,https://www.sgcarmart.com/listing/1023061,honda,stream,2007,mpv,103,1799,1350.0,6,,13999
992066,https://www.sgcarmart.com/listing/992066,mazda,3,2018,mid-sized sedan,88,1496,1310.0,2,42427,65800
1016683,https://www.sgcarmart.com/listing/1016683,bmw,520i,2019,luxury sedan,135,1998,1540.0,1,42000,185800
1005321,,land rover,discovery,2016,suv,177,1999,1841.0,1,85000,116777
1020498,https://www.sgcarmart.com/listing/1020498,lexus,nx,2018,suv,175,1998,1755.0,1,11500,148800
1016505,https://www.sgcarmart.com/listing/1016505,toyota,camry,2010,luxury sedan,110,2362,1620.0,3,55000,74800
