listing_id,url,make,model,manufactured,reg_date,type_of_vehicle,eco_category,transmission,power,engine_cap,curb_weight,no_of_owners,mileage,price
1004862,https://www.sgcarmart.com/listing/1004862,Lamborghini,gallardo,2011,06-jan-2012,sports car,uncategorized,auto,412,5204,1500,5,49000,362800
1004953,https://www.sgcarmart.com/listing/1004953,Mitsubishi,attrage,2016,31-jul-2017,mid-sized_sedan,uncategorized,auto,57,1193,940,2,90000,43800
1031276,https://www.sgcarmart.com/listing/1031276,toyota,vios,2018,21-nov-2018,mid-sized sedan,uncategorized,auto,79,1496,1085,1,20270,56666
1024287,https://www.sgcarmart.com/listing/1024287,volkswagen,golf,2016,18-nov-2016,hatchback,uncategorized,auto,81,1197,1229,1,60000,54200
1023453,https://www.sgcarmart.com/listing/1023453,bmw,216d,2016,24-nov-2016,mpv,uncategorized,auto,85,1496,1480,2,80000,103000
1015705,https://www.sgcarmart.com/listing/1015705,mazda,2,2019,31-jan-2020,luxury sedan,uncategorized,auto,121,1998,1515,1,8896,104800
1030192,https://www.sgcarmart.com/listing/1030192,toyota,corolla,2016,09-dec-2016,mid-sized sedan,uncategorized,auto,90,1598,1205,1,86026,61800
997557,https://www.sgcarmart.com/listing/997557,honda,shuttle,2016,20-apr-2017,stationwagon,uncategorized,auto,97,1496,1130,2,46000,60900
1030697,https://www.sgcarmart.com/listing/1030697,Hyundai,elantra,2011,07-oct-2011,mid-sized sedan,uncategorized,auto,95,1591,1267,3,68720,60800
1015102,https://www.sgcarmart.com/listing/1015102,honda,jazz,2019,13-may-2019,hatchback,uncategorized,auto,96,1498,1088,1,16700,70000
1027579,https://www.sgcarmart.com/listing/1027579,Volkswagen,golf,2016,29-sep-2017,hatchback,uncategorized,auto,92,1395,1249,1,69000,69900
1005292,https://www.sgcarmart.com/listing/1005292,mercedes-benz,c180,2017,21-jun-2018,sports car,uncategorized,auto,115,1595,1505,1,9000,155900
1028867,https://www.sgcarmart.com/listing/1028867,mitsubishi,outlander,2019,06-may-2019,suv,uncategorized,auto,110,1998,1480,1,40000,96800
1019756,https://www.sgcarmart.com/listing/1019756,Bmw,216i,2021,14-jun-2021,hatchback,uncategorized,auto,80,1499,1380,1,45,133688
985150,https://www.sgcarmart.com/listing/985150,Honda,freed,2019,23-jan-2020,mpv,uncategorized,auto,101,1496,1430,1,16000,98800
1028803,https://www.sgcarmart.com/listing/1028803,mazda,2,2006,29-nov-2006,hatchback,uncategorized,auto,82,1498,1110,2,118000,29888
